[2015_10_22_22_26_43] packet: [0	4	19]	ack: Command executed correctly.
[2015_10_22_22_26_46] packet: [13	1	26]	ack: Command executed correctly.
[2015_10_22_22_26_47] packet: [13	1	26]	ack: Command executed correctly.
[2015_10_22_22_26_47] packet: [13	1	26]	ack: Command executed correctly.
[2015_10_22_22_26_47] packet: [13	1	26]	ack: Command executed correctly.
[2015_10_22_22_26_47] packet: [13	1	26]	ack: Command executed correctly.
[2015_10_22_22_26_47] packet: [13	1	26]	ack: Command executed correctly.
[2015_10_22_22_26_48] packet: [13	1	26]	ack: Command executed correctly.
[2015_10_22_22_26_48] packet: [13	1	26]	ack: Command executed correctly.
[2015_10_22_22_26_48] packet: [13	1	26]	ack: Command executed correctly.
[2015_10_22_22_26_48] packet: [13	1	26]	ack: Command executed correctly.
[2015_10_22_22_26_48] packet: [13	1	26]	ack: Command executed correctly.
[2015_10_22_22_26_48] packet: [13	1	26]	ack: Command executed correctly.
[2015_10_22_22_26_48] packet: [13	1	26]	ack: Command executed correctly.
[2015_10_22_22_26_48] packet: [13	1	26]	ack: Command executed correctly.
[2015_10_22_22_26_49] packet: [13	1	26]	ack: Command executed correctly.
[2015_10_22_22_26_49] packet: [13	1	26]	ack: Command executed correctly.
[2015_10_22_22_26_49] packet: [13	2	27]	ack: Command executed correctly.
[2015_10_22_22_26_50] packet: [13	2	27]	ack: Command executed correctly.
[2015_10_22_22_26_50] packet: [13	2	27]	ack: Command executed correctly.
[2015_10_22_22_26_50] packet: [13	2	27]	ack: Command executed correctly.
[2015_10_22_22_26_50] packet: [13	2	27]	ack: Command executed correctly.
[2015_10_22_22_26_50] packet: [13	2	27]	ack: Command executed correctly.
[2015_10_22_22_26_50] packet: [13	2	27]	ack: Command executed correctly.
[2015_10_22_22_26_51] packet: [13	2	27]	ack: Command executed correctly.
[2015_10_22_22_26_51] packet: [13	2	27]	ack: Command executed correctly.
[2015_10_22_22_26_51] packet: [13	2	27]	ack: Command executed correctly.
[2015_10_22_22_26_51] packet: [13	2	27]	ack: Command executed correctly.
[2015_10_22_22_26_51] packet: [13	2	27]	ack: Command executed correctly.
[2015_10_22_22_26_51] packet: [13	2	27]	ack: Command executed correctly.
[2015_10_22_22_26_51] packet: [13	2	27]	ack: Command executed correctly.
[2015_10_22_22_26_52] packet: [13	2	27]	ack: Command executed correctly.
[2015_10_22_22_26_52] packet: [13	2	27]	ack: Command executed correctly.
[2015_10_22_22_26_53] packet: [13	2	27]	ack: Command executed correctly.
[2015_10_22_22_26_53] packet: [13	2	27]	ack: Command executed correctly.
[2015_10_22_22_26_53] packet: [13	2	27]	ack: Command executed correctly.
[2015_10_22_22_26_53] packet: [13	2	27]	ack: Command executed correctly.
[2015_10_22_22_26_54] packet: [13	2	27]	ack: Command executed correctly.
[2015_10_22_22_26_54] packet: [13	2	27]	ack: Command executed correctly.
[2015_10_22_22_26_54] packet: [13	2	27]	ack: Command executed correctly.
[2015_10_22_22_26_54] packet: [13	1	26]	ack: Command executed correctly.
[2015_10_22_22_26_55] packet: [13	1	26]	ack: Command executed correctly.
[2015_10_22_22_26_55] packet: [13	1	26]	ack: Command executed correctly.
[2015_10_22_22_26_55] packet: [13	1	26]	ack: Command executed correctly.
[2015_10_22_22_26_55] packet: [13	2	27]	ack: Command executed correctly.
[2015_10_22_22_26_55] packet: [13	2	27]	ack: Command executed correctly.
[2015_10_22_22_26_56] packet: [13	2	27]	ack: Command executed correctly.
[2015_10_22_22_26_56] packet: [13	2	27]	ack: Command executed correctly.
[2015_10_22_22_26_56] packet: [13	2	27]	ack: Command executed correctly.
[2015_10_22_22_26_56] packet: [13	2	27]	ack: Command executed correctly.
[2015_10_22_22_26_56] packet: [13	2	27]	ack: Command executed correctly.
[2015_10_22_22_26_58] packet: [0	0	0]	ack: Command executed correctly.
[2015_10_22_22_26_59] packet: [48	64	15]	ack: Command executed correctly.
