[2015_10_22_22_27_54] packet: [0	4	19]	ack: Command executed correctly.
[2015_10_22_22_27_58] packet: [15	1	17]	ack: Command executed correctly.
[2015_10_22_22_27_59] packet: [15	1	17]	ack: Command executed correctly.
[2015_10_22_22_28_00] packet: [15	1	17]	ack: Command executed correctly.
[2015_10_22_22_28_00] packet: [15	1	17]	ack: Command executed correctly.
[2015_10_22_22_28_00] packet: [15	1	17]	ack: Command executed correctly.
[2015_10_22_22_28_00] packet: [15	1	17]	ack: Command executed correctly.
[2015_10_22_22_28_00] packet: [15	1	17]	ack: Command executed correctly.
[2015_10_22_22_28_01] packet: [15	1	17]	ack: Command executed correctly.
[2015_10_22_22_28_01] packet: [14	1	29]	ack: Command executed correctly.
[2015_10_22_22_28_02] packet: [14	1	29]	ack: Command executed correctly.
[2015_10_22_22_28_02] packet: [14	1	29]	ack: Command executed correctly.
[2015_10_22_22_28_03] packet: [15	1	17]	ack: Command executed correctly.
[2015_10_22_22_28_03] packet: [15	1	17]	ack: Command executed correctly.
[2015_10_22_22_28_03] packet: [15	1	17]	ack: Command executed correctly.
[2015_10_22_22_28_03] packet: [15	1	17]	ack: Command executed correctly.
[2015_10_22_22_28_03] packet: [15	1	17]	ack: Command executed correctly.
[2015_10_22_22_28_04] packet: [15	1	17]	ack: Command executed correctly.
[2015_10_22_22_28_04] packet: [15	1	17]	ack: Command executed correctly.
[2015_10_22_22_28_04] packet: [15	1	17]	ack: Command executed correctly.
[2015_10_22_22_28_04] packet: [14	1	29]	ack: Command executed correctly.
[2015_10_22_22_28_05] packet: [14	1	29]	ack: Command executed correctly.
[2015_10_22_22_28_05] packet: [13	1	26]	ack: Command executed correctly.
[2015_10_22_22_28_05] packet: [13	1	26]	ack: Command executed correctly.
[2015_10_22_22_28_05] packet: [13	1	26]	ack: Command executed correctly.
[2015_10_22_22_28_05] packet: [13	1	26]	ack: Command executed correctly.
[2015_10_22_22_28_05] packet: [13	1	26]	ack: Command executed correctly.
[2015_10_22_22_28_06] packet: [13	1	26]	ack: Command executed correctly.
[2015_10_22_22_28_06] packet: [13	1	26]	ack: Command executed correctly.
[2015_10_22_22_28_06] packet: [13	1	26]	ack: Command executed correctly.
[2015_10_22_22_28_06] packet: [13	1	26]	ack: Command executed correctly.
[2015_10_22_22_28_08] packet: [0	0	0]	ack: Command executed correctly.
[2015_10_22_22_28_09] packet: [48	64	15]	ack: Command executed correctly.
