[2015_10_22_22_28_31] packet: [0	4	19]	ack: Command executed correctly.
[2015_10_22_22_28_35] packet: [15	1	17]	ack: Command executed correctly.
[2015_10_22_22_28_35] packet: [15	1	17]	ack: Command executed correctly.
[2015_10_22_22_28_35] packet: [15	1	17]	ack: Command executed correctly.
[2015_10_22_22_28_35] packet: [15	1	17]	ack: Command executed correctly.
[2015_10_22_22_28_36] packet: [15	1	17]	ack: Command executed correctly.
[2015_10_22_22_28_36] packet: [15	2	16]	ack: Command executed correctly.
[2015_10_22_22_28_36] packet: [15	2	16]	ack: Command executed correctly.
[2015_10_22_22_28_36] packet: [15	2	16]	ack: Command executed correctly.
[2015_10_22_22_28_36] packet: [15	2	16]	ack: Command executed correctly.
[2015_10_22_22_28_36] packet: [15	2	16]	ack: Command executed correctly.
[2015_10_22_22_28_36] packet: [15	2	16]	ack: Command executed correctly.
[2015_10_22_22_28_37] packet: [15	2	16]	ack: Command executed correctly.
[2015_10_22_22_28_37] packet: [15	2	16]	ack: Command executed correctly.
[2015_10_22_22_28_37] packet: [15	1	17]	ack: Command executed correctly.
[2015_10_22_22_28_37] packet: [15	1	17]	ack: Command executed correctly.
[2015_10_22_22_28_37] packet: [15	1	17]	ack: Command executed correctly.
[2015_10_22_22_28_37] packet: [15	1	17]	ack: Command executed correctly.
[2015_10_22_22_28_37] packet: [15	1	17]	ack: Command executed correctly.
[2015_10_22_22_28_37] packet: [15	1	17]	ack: Command executed correctly.
[2015_10_22_22_28_38] packet: [15	1	17]	ack: Command executed correctly.
[2015_10_22_22_28_38] packet: [15	1	17]	ack: Command executed correctly.
[2015_10_22_22_28_38] packet: [15	1	17]	ack: Command executed correctly.
[2015_10_22_22_28_38] packet: [15	1	17]	ack: Command executed correctly.
[2015_10_22_22_28_38] packet: [15	1	17]	ack: Command executed correctly.
[2015_10_22_22_28_38] packet: [15	1	17]	ack: Command executed correctly.
[2015_10_22_22_28_38] packet: [15	1	17]	ack: Command executed correctly.
[2015_10_22_22_28_38] packet: [15	1	17]	ack: Command executed correctly.
[2015_10_22_22_28_39] packet: [15	2	16]	ack: Command executed correctly.
[2015_10_22_22_28_39] packet: [15	1	17]	ack: Command executed correctly.
[2015_10_22_22_28_39] packet: [15	1	17]	ack: Command executed correctly.
[2015_10_22_22_28_40] packet: [15	1	17]	ack: Command executed correctly.
[2015_10_22_22_28_40] packet: [15	1	17]	ack: Command executed correctly.
[2015_10_22_22_28_40] packet: [15	1	17]	ack: Command executed correctly.
[2015_10_22_22_28_40] packet: [15	1	17]	ack: Command executed correctly.
[2015_10_22_22_28_40] packet: [15	2	16]	ack: Command executed correctly.
[2015_10_22_22_28_40] packet: [15	2	16]	ack: Command executed correctly.
[2015_10_22_22_28_41] packet: [15	2	16]	ack: Command executed correctly.
[2015_10_22_22_28_41] packet: [15	2	16]	ack: Command executed correctly.
[2015_10_22_22_28_41] packet: [15	2	16]	ack: Command executed correctly.
[2015_10_22_22_28_41] packet: [15	2	16]	ack: Command executed correctly.
[2015_10_22_22_28_41] packet: [15	2	16]	ack: Command executed correctly.
[2015_10_22_22_28_41] packet: [15	2	16]	ack: Command executed correctly.
[2015_10_22_22_28_41] packet: [15	2	16]	ack: Command executed correctly.
[2015_10_22_22_28_41] packet: [15	2	16]	ack: Command executed correctly.
[2015_10_22_22_28_41] packet: [15	2	16]	ack: Command executed correctly.
[2015_10_22_22_28_41] packet: [15	2	16]	ack: Command executed correctly.
[2015_10_22_22_28_42] packet: [15	2	16]	ack: Command executed correctly.
[2015_10_22_22_28_42] packet: [15	2	16]	ack: Command executed correctly.
[2015_10_22_22_28_42] packet: [15	2	16]	ack: Command executed correctly.
[2015_10_22_22_28_42] packet: [15	2	16]	ack: Command executed correctly.
[2015_10_22_22_28_42] packet: [15	2	16]	ack: Command executed correctly.
[2015_10_22_22_28_42] packet: [15	2	16]	ack: Command executed correctly.
[2015_10_22_22_28_42] packet: [15	2	16]	ack: Command executed correctly.
[2015_10_22_22_28_42] packet: [15	2	16]	ack: Command executed correctly.
[2015_10_22_22_28_42] packet: [15	2	16]	ack: Command executed correctly.
[2015_10_22_22_28_44] packet: [48	64	15]	ack: Invalid command, rejected.
